1.2.2 0.33 1.86 9.89 22.1
1.3.3 0.31 1.87 9.48 8.02
1.4.3 0.31 2.59 12.0 10.0
1.5.4 0.32 1.93 3.27 0.98
1.6.4 0.32 1.93 3.26 0.98
1.7.6 0.33 2.14 0.81 0.31
1.8.3 0.31 2.94 0.88 0.32
1.9.0 0.29 2.05 1.16 0.29
