0                    8.89  3.91  16.4
8                    9.27  3.90  22.3
65                   11.3  5.07  19.5
1024                 15.6  12.5  18.7
1000000              21.3  14.8  22.6
1212121212           26.4  18.4  28.4
998877665544332211   46.3  28.9  42.2
