1.0.3 243.0 79.9
1.1.2 174.0 65.3
1.2.2 79.4 21.3
1.3.3 51 21.5
1.4.3 103 22.3
1.5.4 92.6 19
1.6.4 103 20.1
1.7.6 98.7 24.5
1.8.3 59.5 18.8
1.9.0 53.5 19.2
