2   54.1  134  267
3   82.7  137  352
4   82.6  142  465
5   80.4  142  497
6   76.1  146  576
7   77.9  147  597
8   101   155  632
9   109   158  669
10  110   162  678
11  117   170  702
12  129   173  709
13  131   178  718
14  146   184  721
15  148   187  725
16  159   188  729
